"content";"score";"thumbsUpCount";"reviewCreatedVersion";"at";"replyContent";"repliedAt";"clean_text";"sentiment";"words";"neut";"pos";"neg";"sentiment_normalized";"sentiment_binary"
"Nada dá pra resolver pelo app. Tenho uma negativa na seção empréstimos que nem pelo app nem na agência consegui resolver.";"1";"0";"7.21.1.0";"2020-05-24T17:09:24";"";"";" nada dá pra resolver app negativa seção empréstimos app agência consegui resolver";"-1.0";"12.0";"11.0";"0.0";"1.0";"-1.0";"-1"
"Gosto muito do app, muito bom e eficiente.";"5";"0";"7.21.0.5";"2020-05-24T17:09:23";"";"";" gosto app bom eficiente";"2.0";"4.0";"2.0";"2.0";"0.0";"-0.1428571428571429";"-1"
"Este app emuito bom praticidade e rapidez";"5";"0";"7.21.0.5";"2020-05-24T17:08:39";"";"";" app emuito bom praticidade rapidez";"1.0";"5.0";"4.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Exelente!!";"5";"0";"7.21.0.5";"2020-05-24T17:07:10";"";"";" exelente";"0.0";"1.0";"1.0";"0.0";"0.0";"-0.7142857142857143";"-1"
"Didático e funcional.";"5";"0";"7.21.0.5";"2020-05-24T17:00:29";"";"";" didático funcional";"0.0";"2.0";"2.0";"0.0";"0.0";"-0.7142857142857143";"-1"
"bom de mais";"5";"0";"7.21.0.5";"2020-05-24T16:58:50";"";"";" bom";"1.0";"1.0";"0.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"E muito bom esse app";"5";"0";"7.21.0.5";"2020-05-24T16:58:13";"";"";" bom app";"1.0";"2.0";"1.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Tem muitas falhas pois meu cartão fácil chegou mais até agora o cartao de crédito não";"5";"0";"7.21.0.5";"2020-05-24T16:57:13";"";"";" muitas falhas pois cartão fácil chegou agora cartao crédito não";"0.0";"10.0";"8.0";"1.0";"1.0";"-0.7142857142857143";"-1"
"Funciona tudo certinho";"5";"0";"7.20.1.0";"2020-05-24T16:57:02";"";"";" funciona tudo certinho";"0.0";"3.0";"3.0";"0.0";"0.0";"-0.7142857142857143";"-1"
"Gosto do trb do BB, satisfeita";"5";"0";"7.21.0.5";"2020-05-24T16:55:03";"";"";" gosto trb bb satisfeita";"1.0";"4.0";"3.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Muito bom";"5";"0";"7.21.0.5";"2020-05-24T16:55:00";"";"";" bom";"1.0";"1.0";"0.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Gosto muito pós tirar minha dúvidas";"3";"0";"7.21.0.5";"2020-05-24T16:54:31";"";"";" gosto pós tirar dúvidas";"0.0";"4.0";"4.0";"0.0";"0.0";"-0.7142857142857143";"-1"
"Mt bom...";"5";"0";"7.21.0.5";"2020-05-24T16:52:32";"";"";" mt bom ";"1.0";"2.0";"1.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"O melhor app de Banco físico";"5";"0";"7.21.0.5";"2020-05-24T16:52:30";"";"";" melhor app banco físico";"1.0";"4.0";"3.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Ótimo aplicativo, até agora responde oque promete 🙌😎";"5";"0";"7.20.1.0";"2020-05-24T16:51:34";"";"";" ótimo aplicativo agora responde oque promete ";"1.0";"6.0";"5.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Ótimo";"5";"0";"7.21.0.5";"2020-05-24T16:50:39";"";"";" ótimo";"1.0";"1.0";"0.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Prático, rápido e sem burocracia. Melhor aplicativo bancário.";"5";"0";"7.21.0.5";"2020-05-24T16:50:26";"";"";" prático rápido burocracia melhor aplicativo bancário";"4.0";"6.0";"2.0";"4.0";"0.0";"0.4285714285714284";"0"
"Ótimo!";"5";"0";"7.21.0.5";"2020-05-24T16:49:51";"";"";" ótimo";"1.0";"1.0";"0.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Boa";"4";"0";"7.21.0.5";"2020-05-24T16:48:52";"";"";" boa";"1.0";"1.0";"0.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Top";"5";"0";"7.21.0.5";"2020-05-24T16:47:28";"";"";" top";"0.0";"1.0";"1.0";"0.0";"0.0";"-0.7142857142857143";"-1"
"Excelente";"5";"0";"7.21.0.5";"2020-05-24T16:44:56";"";"";" excelente";"1.0";"1.0";"0.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Ok";"5";"0";"7.17.0.4";"2020-05-24T16:40:18";"";"";" ok";"1.0";"1.0";"0.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Nao ta dando pra abrir uma conta pra mim, toda vez que envio o codigo pro número do celular ,o código não chega";"1";"0";"7.21.0.5";"2020-05-24T16:38:15";"";"";" nao ta dando pra abrir conta pra mim toda vez envio codigo pro número celular código não chega";"-1.0";"18.0";"17.0";"0.0";"1.0";"-1.0";"-1"
"Muito bom aplicativo fácil navegação.";"5";"0";"7.21.0.5";"2020-05-24T16:36:29";"";"";" bom aplicativo fácil navegação";"2.0";"4.0";"2.0";"2.0";"0.0";"-0.1428571428571429";"-1"
"É possível alternar os menus e transações com facilidade. Tenho usado muito considerando a minha idade. Parabéns.";"5";"0";"7.21.0.5";"2020-05-24T16:34:45";"";"";" possível alternar menus transações facilidade usado considerando idade parabéns";"0.0";"9.0";"7.0";"1.0";"1.0";"-0.7142857142857143";"-1"
"Bom";"5";"0";"7.21.1.0";"2020-05-24T16:30:57";"";"";" bom";"1.0";"1.0";"0.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Muito bom esse app";"5";"0";"7.21.0.5";"2020-05-24T16:29:30";"";"";" bom app";"1.0";"2.0";"1.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Boa demais boa tarde";"3";"0";"7.21.0.5";"2020-05-24T16:28:45";"";"";" boa demais boa tarde";"2.0";"4.0";"2.0";"2.0";"0.0";"-0.1428571428571429";"-1"
"Resolvo e acompanho tudo pelo app... Da pra fazer todas as transações e pagamentos de todos os tipos pelo app. Não preciso ir para fila de banco ou lotérica fazer pagamentos e transferência. 😆";"5";"0";"7.21.1.0";"2020-05-24T16:28:07";"";"";" resolvo acompanho tudo app pra fazer todas transações pagamentos todos tipos app não preciso ir fila banco lotérica fazer pagamentos transferência";"1.0";"21.0";"20.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Nao consigo desbloquear certas funçoes pelo qr code";"1";"0";"7.21.0.5";"2020-05-24T16:27:19";"";"";" nao consigo desbloquear certas funçoes qr code";"0.0";"7.0";"5.0";"1.0";"1.0";"-0.7142857142857143";"-1"
"Top";"5";"0";"7.21.0.5";"2020-05-24T16:27:10";"";"";" top";"0.0";"1.0";"1.0";"0.0";"0.0";"-0.7142857142857143";"-1"
"O App é rápido e me mantém sempre bem informado sobre minha conta. Gostei muito";"5";"0";"7.21.0.5";"2020-05-24T16:26:55";"";"";" app rápido mantém sempre bem informado sobre conta gostei";"2.0";"9.0";"7.0";"2.0";"0.0";"-0.1428571428571429";"-1"
"Bom";"4";"0";"7.21.0.5";"2020-05-24T16:24:51";"";"";" bom";"1.0";"1.0";"0.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Otimo..";"5";"0";"7.21.0.5";"2020-05-24T16:22:33";"";"";" otimo ";"0.0";"1.0";"1.0";"0.0";"0.0";"-0.7142857142857143";"-1"
"Esse app facilita muito nossa vida";"5";"0";"7.21.0.5";"2020-05-24T16:20:54";"";"";" app facilita vida";"0.0";"3.0";"3.0";"0.0";"0.0";"-0.7142857142857143";"-1"
"Excelente!";"5";"0";"7.21.0.5";"2020-05-24T16:20:41";"";"";" excelente";"1.0";"1.0";"0.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Eu tenho tudo que preciso nele";"5";"0";"6.41.0.2";"2020-05-24T16:20:30";"";"";" tudo preciso nele";"1.0";"3.0";"2.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Uso diariamente o aplicativo. Excelente.";"5";"0";"7.21.0.5";"2020-05-24T16:20:16";"";"";" uso diariamente aplicativo excelente";"1.0";"4.0";"3.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Excelente,";"5";"0";"7.21.0.5";"2020-05-24T16:19:41";"";"";" excelente";"1.0";"1.0";"0.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Gratificante interessante mesmo muito bom";"5";"0";"7.21.0.5";"2020-05-24T16:18:48";"";"";" gratificante interessante bom";"2.0";"3.0";"1.0";"2.0";"0.0";"-0.1428571428571429";"-1"
"Bom aplicativo";"4";"0";"7.21.0.5";"2020-05-24T16:18:36";"";"";" bom aplicativo";"1.0";"2.0";"1.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Ótimo.....";"5";"0";"7.21.1.0";"2020-05-24T16:16:16";"";"";" ótimo ";"1.0";"1.0";"0.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Excelente resolver bem minhas necessidades";"5";"0";"7.21.0.5";"2020-05-24T16:14:44";"";"";" excelente resolver bem necessidades";"1.0";"4.0";"3.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Um lixo";"1";"0";"7.21.0.5";"2020-05-24T16:08:02";"";"";" lixo";"0.0";"1.0";"1.0";"0.0";"0.0";"-0.7142857142857143";"-1"
"Facilitou demais a minha vida nesses tempos difíceis pelo qual estamos passando.";"5";"0";"7.21.0.5";"2020-05-24T16:07:26";"";"";" facilitou demais vida nesses tempos difíceis passando";"-1.0";"7.0";"6.0";"0.0";"1.0";"-1.0";"-1"
"Todas as funções do aplicativo são boas, falta ter extrato de conta salário.";"4";"0";"7.21.0.5";"2020-05-24T16:07:24";"";"";" todas funções aplicativo boas falta ter extrato conta salário";"0.0";"9.0";"7.0";"1.0";"1.0";"-0.7142857142857143";"-1"
"Muito bom";"4";"0";"7.21.0.5";"2020-05-24T16:06:07";"";"";" bom";"1.0";"1.0";"0.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Bom";"4";"0";"7.21.0.5";"2020-05-24T16:05:52";"";"";" bom";"1.0";"1.0";"0.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Intuitivo para a maioria das funções. Desde que comecei a usar já era bom, mas depois houveram atualizações certeiras, a experiência continua boa.";"5";"0";"7.21.0.5";"2020-05-24T16:05:22";"";"";" intuitivo maioria funções desde comecei usar bom atualizações certeiras experiência continua boa";"4.0";"12.0";"8.0";"4.0";"0.0";"0.4285714285714284";"0"
"Otimo";"5";"0";"";"2020-05-24T16:04:03";"";"";" otimo";"0.0";"1.0";"1.0";"0.0";"0.0";"-0.7142857142857143";"-1"
"Ecelente";"5";"0";"7.21.0.5";"2020-05-24T16:03:56";"";"";" ecelente";"0.0";"1.0";"1.0";"0.0";"0.0";"-0.7142857142857143";"-1"
"gostei muito bom";"4";"0";"7.21.1.0";"2020-05-24T16:02:29";"";"";" gostei bom";"1.0";"2.0";"1.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"o é";"3";"0";"7.20.1.0";"2020-05-24T16:02:22";"";"";"";"0.0";"0.0";"0.0";"0.0";"0.0";"-0.7142857142857143";"-1"
"Passou por uma repaginação um tempo atrás e ficou muito bom! Fico feliz com a resposta, e, complementando, ficar melhor ainda, a interface poderia ser um pouco mais simples, com menos opções, ficando mais parecido com o Nubank.";"4";"0";"7.21.0.5";"2020-05-24T16:02:05";"Oi! Li seu comentário e fiquei feliz com o elogio! 🙂 Gostaria de saber: o que posso fazer para que sua experiência seja ainda melhor? Fico esperando sua resposta aqui.";"2020-05-18T09:28:39";" passou repaginação tempo atrás ficou bom fico feliz resposta complementando ficar melhor ainda interface poderia ser pouco simples menos opções ficando parecido nubank";"3.0";"23.0";"16.0";"5.0";"2.0";"0.1428571428571428";"0"
"Muito bom. Essencial para os dias de hoje";"5";"0";"";"2020-05-24T16:02:03";"";"";" bom essencial dias hoje";"1.0";"4.0";"3.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Muito bom. Nem lembro da última vez que fui à agência. Resolvo tudo pelo app.";"5";"0";"7.21.0.5";"2020-05-24T16:01:33";"";"";" bom lembro última vez agência resolvo tudo app";"1.0";"8.0";"7.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Muito bom";"5";"0";"7.21.1.0";"2020-05-24T15:59:25";"";"";" bom";"1.0";"1.0";"0.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Excelente, muito prático para uso no dia a dia.";"5";"0";"7.21.0.5";"2020-05-24T15:59:05";"";"";" excelente prático uso dia dia";"2.0";"5.0";"3.0";"2.0";"0.0";"-0.1428571428571429";"-1"
"Muito bom";"5";"0";"7.21.1.0";"2020-05-24T15:57:34";"";"";" bom";"1.0";"1.0";"0.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Ótimo aplicativo.";"5";"0";"7.19.0.1";"2020-05-24T15:56:29";"";"";" ótimo aplicativo";"1.0";"2.0";"1.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Prático";"4";"0";"7.21.0.5";"2020-05-24T15:55:51";"";"";" prático";"1.0";"1.0";"0.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Excelente!!!";"5";"0";"7.21.0.5";"2020-05-24T15:55:11";"";"";" excelente";"1.0";"1.0";"0.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Excelente aplicativo. Evita ir ao banco e rapidinho pagasse as contas, faz transferências e ainda converso com o meu gerente que é sempre muito atencioso, o Ivo. O novo aplicativo ficou mais dinâmico e visualmente mais prático também.";"5";"0";"7.21.0.5";"2020-05-24T15:54:33";"";"";" excelente aplicativo evita ir banco rapidinho pagasse contas faz transferências ainda converso gerente sempre atencioso ivo novo aplicativo ficou dinâmico visualmente prático";"5.0";"22.0";"17.0";"5.0";"0.0";"0.714285714285714";"0"
"Muita burocracia pra conseguir habilitar o app pra conseguir fazer transações.";"2";"0";"7.19.0.1";"2020-05-24T15:54:28";"";"";" muita burocracia pra conseguir habilitar app pra conseguir fazer transações";"1.0";"10.0";"9.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Muito obrigado pela ajuda Muito bom";"5";"0";"7.21.0.5";"2020-05-24T15:51:22";"";"";" obrigado ajuda bom";"0.0";"3.0";"1.0";"1.0";"1.0";"-0.7142857142857143";"-1"
"A versão anterior era melhor de visualizar";"3";"0";"7.21.0.5";"2020-05-24T15:51:05";"";"";" versão anterior melhor visualizar";"1.0";"4.0";"3.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"É bom";"5";"0";"7.21.1.0";"2020-05-24T15:50:52";"";"";" bom";"1.0";"1.0";"0.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Acho um recurso excelente, 70 a 80% utilizo esse aplicativo, ao Banco só vou no máximo 20% das transações";"5";"0";"7.21.0.5";"2020-05-24T15:50:49";"";"";" acho recurso excelente setenta oitenta utilizo aplicativo banco vou máximo vinte transações";"2.0";"12.0";"10.0";"2.0";"0.0";"-0.1428571428571429";"-1"
"Sempre correta e atendendo as minhas necessidades.";"5";"0";"7.21.0.5";"2020-05-24T15:48:34";"";"";" sempre correta atendendo necessidades";"1.0";"4.0";"3.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"O aplicativo tem estado muito lento ultimamente. Mesmo eu fazendo todas as atualizações";"3";"0";"7.21.0.5";"2020-05-24T15:47:46";"";"";" aplicativo estado lento ultimamente fazendo todas atualizações";"-1.0";"7.0";"6.0";"0.0";"1.0";"-1.0";"-1"
"Bom.";"4";"0";"7.21.0.5";"2020-05-24T15:46:43";"";"";" bom";"1.0";"1.0";"0.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Ótimo";"5";"0";"7.21.1.0";"2020-05-24T15:46:00";"";"";" ótimo";"1.0";"1.0";"0.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Não consigo entrar na minha conta depois de abri-la";"3";"0";"7.21.0.5";"2020-05-24T15:44:33";"";"";" não consigo entrar conta abri la";"-1.0";"6.0";"5.0";"0.0";"1.0";"-1.0";"-1"
"É o melhor banco que já tive conta.";"5";"0";"7.21.0.5";"2020-05-24T15:44:28";"";"";" melhor banco conta";"1.0";"3.0";"2.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Fantastico";"5";"0";"7.21.0.5";"2020-05-24T15:41:38";"";"";" fantastico";"0.0";"1.0";"1.0";"0.0";"0.0";"-0.7142857142857143";"-1"
"Excelente";"5";"0";"7.21.0.5";"2020-05-24T15:40:56";"";"";" excelente";"1.0";"1.0";"0.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Muito bom";"5";"0";"7.21.0.5";"2020-05-24T15:37:38";"";"";" bom";"1.0";"1.0";"0.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Super prático,confiável e seguro...viável ,na situação em que, nos encontramos.";"5";"0";"7.21.0.5";"2020-05-24T15:37:37";"";"";" super prático confiável seguro viável situação encontramos";"5.0";"7.0";"2.0";"5.0";"0.0";"0.714285714285714";"0"
"Otimo app.";"5";"0";"7.21.0.5";"2020-05-24T15:37:28";"";"";" otimo app";"0.0";"2.0";"2.0";"0.0";"0.0";"-0.7142857142857143";"-1"
"Bom app, gosto muito.";"4";"0";"7.21.0.5";"2020-05-24T15:37:04";"";"";" bom app gosto";"1.0";"3.0";"2.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Muito bom.";"3";"0";"7.21.0.5";"2020-05-24T15:34:22";"";"";" bom";"1.0";"1.0";"0.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Muito funcional.";"5";"0";"7.21.0.5";"2020-05-24T15:34:08";"";"";" funcional";"0.0";"1.0";"1.0";"0.0";"0.0";"-0.7142857142857143";"-1"
"Tá horrível, sem funcionar nada. Tentei cadastrar biometria para abrir no celular não aceitou";"1";"0";"7.21.0.5";"2020-05-24T15:33:13";"";"";" tá horrível funcionar nada tentei cadastrar biometria abrir celular não aceitou";"-1.0";"11.0";"8.0";"1.0";"2.0";"-1.0";"-1"
"Muito bom";"5";"0";"7.21.0.5";"2020-05-24T15:32:38";"";"";" bom";"1.0";"1.0";"0.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Show de bola!";"5";"0";"7.21.0.5";"2020-05-24T15:31:12";"";"";" show bola";"0.0";"2.0";"2.0";"0.0";"0.0";"-0.7142857142857143";"-1"
"Funciona super bem!";"5";"0";"7.21.0.5";"2020-05-24T15:29:54";"";"";" funciona super bem";"1.0";"3.0";"2.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Cagaram com tudo. Era bom. Ficou horrível";"1";"0";"7.21.0.5";"2020-05-24T15:26:30";"";"";" cagaram tudo bom ficou horrível";"0.0";"5.0";"3.0";"1.0";"1.0";"-0.7142857142857143";"-1"
"Acho excelente o aplicativo, possui diversas funcionalidades o que agiliza tramites bancários";"5";"0";"7.21.0.5";"2020-05-24T15:25:46";"";"";" acho excelente aplicativo possui diversas funcionalidades agiliza tramites bancários";"1.0";"9.0";"8.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Muito bom";"1";"0";"7.21.0.5";"2020-05-24T15:24:00";"";"";" bom";"1.0";"1.0";"0.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Ótimo, ñ saiu de casa pra nd,facilitou mt a minha vida";"5";"0";"7.20.0.4";"2020-05-24T15:23:59";"";"";" ótimo saiu casa pra nd facilitou mt vida";"1.0";"8.0";"7.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"app atendeu todas as minhas necessidades muito bom";"5";"0";"7.21.0.5";"2020-05-24T15:23:36";"";"";" app atendeu todas necessidades bom";"1.0";"5.0";"4.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Muito bom ok obrigado";"5";"0";"7.21.0.5";"2020-05-24T15:22:28";"";"";" bom ok obrigado";"1.0";"3.0";"0.0";"2.0";"1.0";"-0.4285714285714286";"-1"
"Bom";"5";"0";"7.21.0.5";"2020-05-24T15:22:19";"";"";" bom";"1.0";"1.0";"0.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Rápido, fácil de utilizar, nunca deu problema, parabéns!!!";"5";"0";"7.21.0.5";"2020-05-24T15:19:23";"";"";" rápido fácil utilizar nunca deu problema parabéns";"2.0";"7.0";"5.0";"2.0";"0.0";"-0.1428571428571429";"-1"
"Muito bom";"5";"0";"";"2020-05-24T15:16:51";"";"";" bom";"1.0";"1.0";"0.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Bom satisfeita com o app";"4";"0";"";"2020-05-24T15:15:05";"";"";" bom satisfeita app";"2.0";"3.0";"1.0";"2.0";"0.0";"-0.1428571428571429";"-1"
"É uma janela muito ultil nos dias de hoje. Infomacoes rápidas e precisas, além de boa qualidade de atendimento.";"5";"0";"7.21.0.5";"2020-05-24T15:14:52";"";"";" janela ultil dias hoje infomacoes rápidas precisas além boa qualidade atendimento";"3.0";"11.0";"8.0";"3.0";"0.0";"0.1428571428571428";"0"
"Está a contento para as minhas necessidades.";"5";"0";"7.21.0.5";"2020-05-24T15:12:14";"";"";" contento necessidades";"0.0";"2.0";"2.0";"0.0";"0.0";"-0.7142857142857143";"-1"
"Gostei";"4";"0";"7.21.0.5";"2020-05-24T15:10:42";"";"";" gostei";"0.0";"1.0";"1.0";"0.0";"0.0";"-0.7142857142857143";"-1"
"Ótima";"5";"0";"7.21.1.0";"2020-05-24T15:10:16";"";"";" ótima";"1.0";"1.0";"0.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Melhorando cada vez mais.";"4";"0";"7.21.0.5";"2020-05-24T15:08:09";"";"";" melhorando cada vez";"0.0";"3.0";"3.0";"0.0";"0.0";"-0.7142857142857143";"-1"
"Ótima";"5";"0";"7.21.0.5";"2020-05-24T15:08:02";"";"";" ótima";"1.0";"1.0";"0.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Legal";"5";"0";"7.21.0.5";"2020-05-24T15:04:58";"";"";" legal";"1.0";"1.0";"0.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Muito útil, super prático de usar, muito satisfeita ❤️";"5";"0";"7.21.0.5";"2020-05-24T15:04:12";"";"";" útil super prático usar satisfeita ";"5.0";"5.0";"0.0";"5.0";"0.0";"0.714285714285714";"0"
"Depois da atualização da ultima atualização foi corrigido o problema de acesso.";"5";"0";"7.21.0.5";"2020-05-24T15:02:20";"";"";" atualização ultima atualização corrigido problema acesso";"0.0";"6.0";"6.0";"0.0";"0.0";"-0.7142857142857143";"-1"
"Muito prático! Excelente! Fácil e rápido!";"5";"0";"7.21.0.5";"2020-05-24T15:02:12";"";"";" prático excelente fácil rápido";"4.0";"4.0";"0.0";"4.0";"0.0";"0.4285714285714284";"0"
"App muito simples e de fácil entendimento das opções.";"5";"0";"7.21.0.5";"2020-05-24T15:00:35";"";"";" app simples fácil entendimento opções";"1.0";"5.0";"4.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Quero um cartão e vocês não dão acesso para ter";"1";"0";"";"2020-05-24T14:59:38";"";"";" quero cartão não dão acesso ter";"0.0";"6.0";"6.0";"0.0";"0.0";"-0.7142857142857143";"-1"
"Muito bom gosto muito";"5";"0";"7.21.0.5";"2020-05-24T14:57:59";"";"";" bom gosto";"1.0";"2.0";"1.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Muito bom! Funcionalidade e atendimento rápido. O que deve melhorar são as ofertas de tarifas e percentual de taxa dos consignados.";"5";"0";"7.21.1.0";"2020-05-24T14:57:27";"";"";" bom funcionalidade atendimento rápido deve melhorar ofertas tarifas percentual taxa consignados";"2.0";"11.0";"9.0";"2.0";"0.0";"-0.1428571428571429";"-1"
"Não consigo desbloquear o cartão pelo qr core.";"4";"0";"7.21.0.5";"2020-05-24T14:56:20";"";"";" não consigo desbloquear cartão qr core";"-1.0";"6.0";"5.0";"0.0";"1.0";"-1.0";"-1"
"Top";"5";"0";"7.21.0.5";"2020-05-24T14:55:27";"";"";" top";"0.0";"1.0";"1.0";"0.0";"0.0";"-0.7142857142857143";"-1"
"Bom, para mim perfeito , até hoje nunca tive nenhum tipo de problema , sempre que preciso está disponível!";"5";"0";"7.21.0.5";"2020-05-24T14:55:12";"";"";" bom mim perfeito hoje nunca nenhum tipo problema sempre preciso disponível";"4.0";"11.0";"7.0";"4.0";"0.0";"0.4285714285714284";"0"
"Excelente !!! Atende todas as minhas necessidades.";"5";"0";"7.21.0.5";"2020-05-24T14:55:02";"";"";" excelente atende todas necessidades";"1.0";"4.0";"3.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Muito melho que filas na agecias ok";"5";"0";"7.21.0.5";"2020-05-24T14:49:17";"";"";" melho filas agecias ok";"1.0";"4.0";"3.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Ótimo aplicativo";"5";"0";"7.21.0.5";"2020-05-24T14:48:41";"";"";" ótimo aplicativo";"1.0";"2.0";"1.0";"1.0";"0.0";"-0.4285714285714286";"-1"
"Esta sendo um grande bamco";"5";"0";"7.21.0.5";"2020-05-24T14:48:23";"";"";" sendo grande bamco";"0.0";"3.0";"3.0";"0.0";"0.0";"-0.7142857142857143";"-1"
