,video_id,comment_text,likes,replies,sentiment,text
6564,1nEp6DcHwhs,Awesome content as always,0,0,1,awesome content always
6592,brfJuyTADuQ,this is boring,0,0,-1,boring
6689,bp6uJJJMaLs,The sausagefest that is your patreon account is always the best piece of comedy in your videos,0,0,1,sausagefest patreon account always best piece comedy videos
6813,ah8SQNOXgrQ,this is gonna be the best series on youtube,0,0,1,gonna best series youtube
6893,rHfyvSgvgoo,But rosabell has the best tits I have ever seen,0,0,1,rosabell best tits ever seen
6936,rHfyvSgvgoo,It was honestly a breathtaking scene. So well done. Thank you to the actresses and crew,1,0,1,honestly breathtaking scene well done thank actresses crew
6951,rHfyvSgvgoo,Best Revenge,0,0,1,best revenge
6961,rHfyvSgvgoo,Majestic. <3  :D,0,0,1,majestic 3
6983,-JmNKGfFj7w,He's on another level. He's fucking awesome.,0,0,1,hes another level hes fucking awesome
7051,-JmNKGfFj7w,He's perfect!,0,0,1,hes perfect
7083,Vjc459T6wX8,MARU the great contortionist!!,0,0,1,maru great contortionist
7126,Vjc459T6wX8,"LOL, I knew it! Be water, my friend...",0,0,1,lol knew water friend
7140,Vjc459T6wX8,Maru is poetry in motion...slow motion. <3 <3,0,0,1,maru poetry motionslow motion 3 3
7159,Vjc459T6wX8,Omg!!! Maru your so adorable! I wish i could hug you!!!,1,0,1,omg maru adorable wish could hug
7302,ktl2mLsSq4o,Sooo... when are you gonna do a giveaway with that Tissot on your wrist? :D,0,0,1,sooo gonna giveaway tissot wrist
7332,ktl2mLsSq4o,One of the best explained drop tests out there,0,0,1,one best explained drop tests
7339,ktl2mLsSq4o,You should use Xperia xz premium for slow-mo..best of best,0,0,1,use xperia xz premium slowmobest best
7602,aZkqHx5uri4,her voice is very attractive btw,0,0,1,voice attractive btw
7620,aZkqHx5uri4,she's very attractive,0,0,1,shes attractive
7627,aZkqHx5uri4,who is she??? what's her ig??? she is beautiful!!! ❤😭,0,0,1,whats ig beautiful
7667,aZkqHx5uri4,PENTATONIXXXX <3,0,0,1,pentatonixxxx 3
7698,1Sm8A-u1vIA,"The ripping of the evil Qur’aan and If I am no longer here, here is my advice\nhttps://youtu.be/szZTiavY-6A\nLike and RT",1,0,-1,ripping evil quraan longer advice\nhttpsyoutubeszztiavy6a\nlike rt
7725,1Sm8A-u1vIA,Awesome Awesome Awesome Sauce!,0,1,1,awesome awesome awesome sauce
7742,JsTptu56GM8,Whoever did your makeup did a terrible job.,0,0,-1,whoever makeup terrible job
7747,JsTptu56GM8,0:54 I see what you did there :D,0,0,1,054 see
7769,JsTptu56GM8,great video!  I have been wondering this for quite a while (but been too lasy to look it up ...),0,0,1,great video wondering quite lasy look
7868,ppGCbh8ggUs,"Best history channel on YouTube.  Well done, man.",0,0,1,best history channel youtube well done man
7898,ppGCbh8ggUs,the roman rectangle at the end gave me goosebumps :D,0,0,1,roman rectangle end gave goosebumps
7902,ppGCbh8ggUs,Awesome ! Who is now waiting for Raz Battles video ?,0,0,1,awesome waiting raz battles video
7904,ppGCbh8ggUs,one of the best videos I ever saw on youtube good job !!!!,0,0,1,one best videos ever saw youtube good job
7927,ppGCbh8ggUs,Best channel.\n\nXenophon ftw.,0,0,1,best channel\n\nxenophon ftw
7978,tteLMfFDCb4,"Her book should be titled, Damn I can't even beat him?     I wish she would just fade into the background already. How miserable 😭 must life be to want to read this book.",0,0,-1,book titled damn cant even beat wish would fade background already miserable must life want read book
7979,tteLMfFDCb4,The like to dislike ratio to this video is just hysterical.,0,0,-1,like dislike ratio video hysterical
7995,tteLMfFDCb4,The like to dislike ratio is perfect.,0,0,1,like dislike ratio perfect
8038,etn4P80K5WU,"IT WAS THE BEST SONG IN THE WORLD, IT WAS THE BEST SONG IN THE WUR-HUR-HURLD.",0,0,1,best song world best song wurhurhurld
8051,etn4P80K5WU,"Лучшая! ♥ \nБузова, учись у неё. Как петь надо.",0,0,1,\n
8060,etn4P80K5WU,I think it's just awesome.\nHere a lots awesome design;https://goo.gl/Gg7HNh,0,0,1,think awesome\nhere lots awesome designhttpsgooglgg7hnh
8061,etn4P80K5WU,ELLIE <3,0,0,1,ellie 3
8079,etn4P80K5WU,"The best song in the world, it was the best song in the world",0,0,1,best song world best song world
8107,etn4P80K5WU,Excellent.,0,0,1,excellent
8108,etn4P80K5WU,incredible as always !!! keep it up guys,1,0,1,incredible always keep guys
8115,etn4P80K5WU,excellent,0,0,1,excellent
8117,etn4P80K5WU,eu amei muito <3,0,0,1,eu amei muito 3
8186,DUFBEamEF0Q,Best show of all time!!!!,0,0,1,best show time
8253,B_CHjYoqPUU,LOL @2:21 that pat was for the DOG!!!!!,0,0,1,lol 221 pat dog
8254,B_CHjYoqPUU,10/10 best tutorial ever,0,0,1,1010 best tutorial ever
8279,B_CHjYoqPUU,Delicious bean water,0,0,1,delicious bean water
8283,B_CHjYoqPUU,"Is she into you? If you watch I video like this, probably no.\nWhat's the worst that could happen? Depends on the size of ya town.",0,0,-1,watch video like probably no\nwhats worst could happen depends size ya town
8365,kCKTmL5Hn-M,Do you guys JUST hate it when people edit their comment??!?,0,0,-1,guys hate people edit comment
8435,N4Jb3gkrGXI,she has the worst fashion sense,0,0,-1,worst fashion sense
8540,0Yhaei1S5oQ,CHEE so - a SEE tal - :D,0,0,1,chee see tal
8570,0Yhaei1S5oQ,"3:33 to 3:36 they would jerk around uncontrollably, making terrifying noises, then they would die. I was imagining cats masturbating to death.",0,0,-1,333 336 would jerk around uncontrollably making terrifying noises would die imagining cats masturbating death
8606,0Yhaei1S5oQ,the greatest generation people...,0,0,1,greatest generation people
8776,amds5iNvFD4,Who else knew Rene from Lilly's vlogs :D,0,0,1,else knew rene lillys vlogs
8803,amds5iNvFD4,whoever thought of lilly : D,0,0,1,whoever thought lilly
8828,amds5iNvFD4,michelle looks so freaking beautiful!!!,0,0,1,michelle looks freaking beautiful
8829,amds5iNvFD4,Excellent,0,0,1,excellent
8845,OudFElslbh4,LEAVE IT TO ALISHA TO MAKE THE BEST INTROS,0,0,1,leave alisha make best intros
8919,OudFElslbh4,I swear Alisha's intros are literally the best,1,0,1,swear alishas intros literally best
8923,OudFElslbh4,YOOOOOO ALISHA UR INTRO IS OMG AMAZING!!!!!!,0,0,1,yoooooo alisha ur intro omg amazing
8958,gmXuUgB7T3Y,Everlane has great tshirts!,0,0,1,everlane great tshirts
